[1] ROUGE-1: 8.17	ROUGE-2: 7.85	ROUGE-L: 7.31
[35] ROUGE-1: 14.30	ROUGE-2: 13.31	ROUGE-L: 10.74
[36] ROUGE-1: 11.57	ROUGE-2: 10.63	ROUGE-L: 8.50
[37] ROUGE-1: 10.82	ROUGE-2: 8.50	ROUGE-L: 6.95
[38] ROUGE-1: 5.45	ROUGE-2: 4.99	ROUGE-L: 3.92
[39] ROUGE-1: 34.62	ROUGE-2: 24.98	ROUGE-L: 25.27
[40] ROUGE-1: 6.47	ROUGE-2: 6.19	ROUGE-L: 3.84
[41] ROUGE-1: 12.00	ROUGE-2: 11.28	ROUGE-L: 7.99
[42] ROUGE-1: 24.34	ROUGE-2: 15.56	ROUGE-L: 15.32
[43] ROUGE-1: 5.63	ROUGE-2: 4.62	ROUGE-L: 3.97
[44] ROUGE-1: 9.19	ROUGE-2: 8.85	ROUGE-L: 7.42
[45] ROUGE-1: 33.03	ROUGE-2: 26.52	ROUGE-L: 21.54
[46] ROUGE-1: 17.75	ROUGE-2: 15.35	ROUGE-L: 11.28
[47] ROUGE-1: 6.60	ROUGE-2: 6.02	ROUGE-L: 5.07
[48] ROUGE-1: 35.32	ROUGE-2: 29.17	ROUGE-L: 20.00
[49] ROUGE-1: 28.66	ROUGE-2: 25.67	ROUGE-L: 16.68
[50] ROUGE-1: 4.30	ROUGE-2: 3.14	ROUGE-L: 2.52
[51] ROUGE-1: 17.65	ROUGE-2: 17.05	ROUGE-L: 10.21
[52] ROUGE-1: 4.03	ROUGE-2: 3.65	ROUGE-L: 2.56
[53] ROUGE-1: 32.56	ROUGE-2: 28.74	ROUGE-L: 17.25
[54] ROUGE-1: 15.91	ROUGE-2: 14.07	ROUGE-L: 7.95
[55] ROUGE-1: 18.52	ROUGE-2: 14.71	ROUGE-L: 9.62
[56] ROUGE-1: 38.75	ROUGE-2: 34.34	ROUGE-L: 25.76
[57] ROUGE-1: 36.41	ROUGE-2: 24.50	ROUGE-L: 24.44
[58] ROUGE-1: 12.26	ROUGE-2: 11.63	ROUGE-L: 10.15
[59] ROUGE-1: 54.93	ROUGE-2: 42.33	ROUGE-L: 41.01
[60] ROUGE-1: 29.80	ROUGE-2: 28.09	ROUGE-L: 22.72
[61] ROUGE-1: 6.21	ROUGE-2: 5.43	ROUGE-L: 5.15
[62] ROUGE-1: 5.09	ROUGE-2: 3.79	ROUGE-L: 3.11
[63] ROUGE-1: 21.95	ROUGE-2: 18.82	ROUGE-L: 12.97
[64] ROUGE-1: 48.30	ROUGE-2: 38.41	ROUGE-L: 37.64
[65] ROUGE-1: 6.97	ROUGE-2: 6.57	ROUGE-L: 5.37
[66] ROUGE-1: 3.62	ROUGE-2: 2.78	ROUGE-L: 2.46
[67] ROUGE-1: 41.04	ROUGE-2: 34.75	ROUGE-L: 22.41
[68] ROUGE-1: 74.32	ROUGE-2: 62.89	ROUGE-L: 53.86
[69] ROUGE-1: 12.96	ROUGE-2: 12.48	ROUGE-L: 11.51
[70] ROUGE-1: 18.53	ROUGE-2: 17.54	ROUGE-L: 10.54
[71] ROUGE-1: 8.33	ROUGE-2: 7.67	ROUGE-L: 7.29
[72] ROUGE-1: 8.46	ROUGE-2: 7.68	ROUGE-L: 4.43
[73] ROUGE-1: 9.87	ROUGE-2: 9.26	ROUGE-L: 7.14
[74] ROUGE-1: 26.58	ROUGE-2: 25.74	ROUGE-L: 17.58
[75] ROUGE-1: 24.18	ROUGE-2: 21.27	ROUGE-L: 12.69
[76] ROUGE-1: 36.18	ROUGE-2: 34.38	ROUGE-L: 20.94
[77] ROUGE-1: 4.23	ROUGE-2: 4.01	ROUGE-L: 3.25
[78] ROUGE-1: 48.41	ROUGE-2: 44.13	ROUGE-L: 27.97
[79] ROUGE-1: 10.61	ROUGE-2: 10.29	ROUGE-L: 8.04
[80] ROUGE-1: 3.15	ROUGE-2: 2.42	ROUGE-L: 1.84
[81] ROUGE-1: 39.44	ROUGE-2: 36.05	ROUGE-L: 22.74
[82] ROUGE-1: 8.73	ROUGE-2: 8.08	ROUGE-L: 6.63
[83] ROUGE-1: 8.50	ROUGE-2: 8.14	ROUGE-L: 6.23
[84] ROUGE-1: 29.32	ROUGE-2: 28.61	ROUGE-L: 22.54
[85] ROUGE-1: 25.74	ROUGE-2: 22.68	ROUGE-L: 14.48
[86] ROUGE-1: 26.13	ROUGE-2: 22.31	ROUGE-L: 18.89
[87] ROUGE-1: 36.49	ROUGE-2: 29.45	ROUGE-L: 16.82
[88] ROUGE-1: 13.63	ROUGE-2: 12.22	ROUGE-L: 10.31
[89] ROUGE-1: 38.82	ROUGE-2: 30.52	ROUGE-L: 14.74
[90] ROUGE-1: 20.98	ROUGE-2: 19.91	ROUGE-L: 15.87
[91] ROUGE-1: 8.83	ROUGE-2: 8.28	ROUGE-L: 6.17
[92] ROUGE-1: 10.58	ROUGE-2: 9.72	ROUGE-L: 8.60
[93] ROUGE-1: 8.30	ROUGE-2: 6.50	ROUGE-L: 5.39
[94] ROUGE-1: 11.77	ROUGE-2: 10.99	ROUGE-L: 5.89
[95] ROUGE-1: 21.16	ROUGE-2: 19.73	ROUGE-L: 21.16
[96] ROUGE-1: 7.27	ROUGE-2: 6.50	ROUGE-L: 5.05
[97] ROUGE-1: 33.97	ROUGE-2: 28.78	ROUGE-L: 21.29
[98] ROUGE-1: 4.03	ROUGE-2: 3.45	ROUGE-L: 2.48
[99] ROUGE-1: 5.93	ROUGE-2: 5.33	ROUGE-L: 4.61
[100] ROUGE-1: 6.71	ROUGE-2: 6.37	ROUGE-L: 5.14
